chrom	start	stop	id	chr#	wind#	nbBreak_EBR-V4	p_val_sim_100K	CEGA_cov	DGV_cov	FungtammasanCFS_cov	aPhasedRep_cov	directRep_cov	g4Rep_cov	invertedRep_cov	mirrorRep_cov	sTandemRep_cov	ZDNA_cov	G4_cov	refExon_cov	refGene_cov	RNA_G4_cov	selfChain_cov	SynBlc_cov	cpg_cov	LINE_cov	lowComplx_cov	LTR_cov	satellite_cov	simpleRep_cov	SINE_cov	SD_cov	%GC	cpg_count	aPhasedRep_count	DGV_count	directRep_count	g4Rep_count	G4_count	LINE_count	lowComplx_count	LTR_count	mirrorRep_count	refExon_count	refGene_count	satellite_count	SD_count	selfChain_count	simpleRep_count	SINE_count	sTandemRep_count	ZDNA_count	invertedRep_count
chr4	49500000	49600000	4wind496	4	496	0	0.99997	0	100000	0	464	1263	383	5148	1985	865	131	596	1474	10950	0	100000	0	516	5620	0	13863	0	282	0	99999	0.43343	2	18	72	39	19	19	9	0	14	35	2	4	3	91	366	1	0	62	9	218
chr5	46100000	46200000	5wind462	5	462	0	0.99993	0	100000	0	361	466	41	5080	1212	465	76	87	0	0	0	0	2677	0	0	0	0	19267	0	0	0	0.37351	0	15	73	23	4	4	1	0	0	23	0	0	4	0	0	0	0	37	7	290
chr5	46200000	46300000	5wind463	5	463	0	0.99995	0	100000	0	239	209	21	5824	647	111	18	55	0	0	0	0	0	0	0	0	0	21165	0	0	0	0.36046	0	10	113	7	2	2	0	0	0	11	0	0	4	0	0	0	0	8	2	286
chr5	46300000	46400000	5wind464	5	464	0	0.99994	0	100000	0	707	194	41	4234	1661	144	36	65	0	0	0	0	0	0	0	0	0	3564	0	0	0	0.3727	0	29	75	10	3	3	0	0	0	19	0	0	2	0	0	0	0	12	4	245
chr6	58700000	58800000	6wind588	6	588	0	0.99997	0	80200	0	296	229	0	3130	875	316	81	47	0	0	0	100000	0	0	9622	0	2922	7623	0	0	0	0.30425	0	11	89	8	2	2	9	0	4	14	0	0	3	1	4	0	0	24	8	183
chr7	57800000	57900000	7wind579	7	579	0	0.99991	0	100000	0	364	2015	436	3951	3787	1867	409	507	1093	82653	0	100000	316	513	5581	0	1294	4775	0	2029	99867	0.43673	1	15	45	90	17	17	4	0	2	64	7	2	5	41	278	0	4	119	26	197
chr7	57900000	58000000	7wind580	7	580	0	0.99994	0	100000	0	650	784	79	3906	1563	672	96	168	0	0	0	100000	0	1366	4345	0	0	0	0	0	39192	0.37609	1	27	91	26	6	6	6	0	0	22	0	0	1	77	65	0	0	53	10	205
chr7	61100000	61200000	7wind612	7	612	0	0.99993	0	100000	0	1634	55	0	3413	0	0	0	0	0	0	0	100000	0	0	0	0	0	0	0	0	0	0.37759	0	71	61	2	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	196
chr7	61200000	61300000	7wind613	7	613	0	0.99998	0	100000	0	1270	664	21	3424	1337	57	18	44	0	0	0	100000	0	0	0	0	0	0	0	0	0	0.37109	0	54	70	8	2	2	1	0	0	15	0	0	2	0	11	0	0	6	2	206
chr7	61300000	61400000	7wind614	7	614	0	0.99996	0	100000	0	414	108	47	2008	930	58	18	27	0	0	0	100000	0	0	0	0	0	0	0	0	1111	0.18331	0	17	32	4	2	1	2	0	0	10	0	0	1	15	19	0	0	6	2	123
chr7	61700000	61800000	7wind618	7	618	0	0.99989	0	100000	0	2034	11973	0	2454	1307	2124	33	98	0	0	0	100000	0	0	1708	277	1489	318	0	0	34830	0.25862	0	85	138	488	4	4	6	1	3	14	0	0	4	67	100	0	0	189	3	114
chr7	61800000	61900000	7wind619	7	619	0	0.9999	0	100000	0	697	1584	111	5901	1658	649	29	116	0	0	0	100000	0	1564	13826	0	1184	26332	0	0	42582	0.36858	1	29	160	69	5	5	4	0	3	24	0	0	5	82	94	0	0	59	3	299
chr7	61900000	62000000	7wind620	7	620	0	0.99991	0	100000	0	324	0	0	1840	199	10	19	0	0	0	0	100000	0	0	0	0	0	32841	0	0	0	0.18308	0	14	157	0	0	0	0	0	0	3	0	0	1	0	1	0	0	1	2	99
chr7	62000000	62100000	7wind621	7	621	0	0.99988	0	100000	0	385	222	117	4789	1702	98	18	185	0	0	0	100000	0	0	0	0	0	6810	0	0	1058	0.3713	0	16	111	8	7	7	3	0	0	22	0	0	6	1	3	0	0	8	2	285
chr7	62100000	62200000	7wind622	7	622	0	0.99991	0	100000	0	378	137	34	5471	381	198	36	114	0	0	0	100000	0	0	0	0	0	22640	0	0	0	0.36956	0	15	88	6	4	4	2	0	0	12	0	0	2	0	3	0	0	14	4	298
chr7	62200000	62300000	7wind623	7	623	0	0.99991	0	100000	0	443	100	0	6401	299	155	49	0	0	0	0	100000	0	0	0	0	0	65662	0	0	0	0.37116	0	18	58	3	0	0	0	0	0	6	0	0	5	0	3	0	0	12	5	340
chr7	62300000	62400000	7wind624	7	624	0	0.99994	0	100000	0	372	166	41	5700	738	190	30	63	0	0	0	100000	0	0	5057	0	0	45208	0	0	0	0.37637	0	15	78	6	3	3	1	0	0	12	0	0	2	0	8	0	0	18	3	313
chr8	43300000	43400000	8wind434	8	434	0	0.99991	0	100000	0	368	692	184	4131	2145	711	91	220	0	6786	0	96637	0	0	4817	0	13243	0	0	0	0	0.40354	0	14	16	26	9	9	5	0	10	39	0	1	3	0	41	0	0	52	8	204
chr8	43400000	43500000	8wind435	8	435	0	0.99996	0	100000	0	534	882	44	2413	1073	402	9	46	0	0	0	427	0	0	0	0	0	41793	0	0	0	0.41774	0	22	43	15	2	2	0	0	1	18	0	0	5	0	6	0	0	35	1	140
chr8	43500000	43600000	8wind436	8	436	0	0.99991	0	100000	0	558	250	88	2516	1577	385	19	166	0	0	0	1943	0	0	428	0	0	59185	0	0	1514	0.37926	0	23	40	7	6	6	1	0	1	25	0	0	6	1	2	0	0	30	2	133
chr8	43600000	43700000	8wind437	8	437	0	0.99996	0	100000	0	627	243	29	2755	935	250	10	30	0	0	0	0	0	0	0	0	0	97937	0	0	0	0.37226	0	25	69	9	1	1	0	0	0	14	0	0	5	0	0	0	0	23	1	116
chr8	43700000	43800000	8wind438	8	438	0	0.99996	0	100000	0	564	216	87	4168	644	293	29	113	0	0	0	0	0	0	0	0	6803	24571	0	0	0	0.37422	0	23	56	7	5	5	2	0	2	11	0	0	3	0	6	0	0	24	3	188
chr8	46900000	47000000	8wind470	8	470	0	0.99995	0	100000	0	438	730	205	3574	2098	765	67	238	0	0	0	17291	0	0	0	226	0	29832	0	511	0	0.40978	0	18	35	31	8	8	0	1	0	37	0	0	4	0	4	0	1	54	6	179
chr8	47000000	47100000	8wind471	8	471	0	0.99994	0	100000	0	237	333	452	5310	880	316	28	2276	0	0	0	0	0	0	0	0	2729	8393	0	0	0	0.52716	0	10	37	13	76	76	0	0	2	14	0	0	7	0	1	0	0	25	3	323
chr8	47100000	47200000	8wind472	8	472	0	0.99995	0	100000	0	117	226	2263	5386	968	171	10	2637	0	0	0	0	0	0	0	0	7021	37034	0	0	0	0.55328	0	5	47	8	88	88	0	0	2	16	0	0	5	0	0	0	0	14	1	326
chr8	47200000	47300000	8wind473	8	473	0	0.99995	0	100000	0	490	599	934	4071	1525	419	27	1099	0	0	0	0	0	0	0	0	0	15138	314	0	0	0.43871	0	20	42	21	38	38	1	0	0	23	0	0	8	0	0	1	0	35	3	227
chr8	47300000	47400000	8wind474	8	474	0	0.99992	0	100000	0	355	437	861	4058	948	189	27	1258	0	0	0	0	0	0	0	0	0	29586	0	0	0	0.47588	0	15	64	14	44	44	0	0	1	18	0	0	9	0	0	0	0	13	3	265
chr9	16500000	16600000	9wind166	9	166	0	0.99975	11651	63000	0	494	1038	119	4090	2696	1509	189	151	0	0	0	0	100000	0	388	0	1803	0	0	0	0	0.3823	0	19	7	37	7	7	2	0	3	48	3	2	0	0	1	0	0	101	12	215
chr10	39000000	39100000	10wind391	10	391	0	0.99998	0	100000	0	1396	11627	135	3479	2683	4428	65	755	0	0	0	100000	0	994	5293	0	1614	22143	3017	0	76552	0.40164	1	59	80	510	31	31	7	0	2	46	0	0	6	41	58	5	3	249	4	173
chr10	42400000	42500000	10wind425	10	425	0	0.99994	0	100000	0	388	117	42	5305	1939	169	59	84	0	0	0	100000	0	0	0	0	0	32805	0	0	0	0.36822	0	16	80	4	4	4	1	0	0	21	0	0	4	0	0	0	0	16	6	281
chr10	42500000	42600000	10wind426	10	426	0	0.99992	0	100000	0	535	976	0	1390	192	229	99	0	0	0	0	100000	0	0	0	0	0	0	0	0	2813	0.18728	0	23	110	41	0	0	0	0	0	4	0	0	2	3	2	0	0	21	9	77
chr10	42600000	42700000	10wind427	10	427	0	0.99994	0	100000	0	778	6053	41	5164	3330	1899	122	251	606	2053	0	100000	0	4861	5158	880	6172	278	0	440	98156	0.39108	3	33	139	252	9	9	10	2	5	47	3	1	3	172	233	0	1	145	9	246
chr10	42700000	42800000	10wind428	10	428	0	0.99995	0	100000	20006	1082	9197	561	4390	3276	4145	108	858	0	0	0	100000	0	1822	2875	566	10303	9348	3298	0	86012	0.4001	1	43	95	382	32	32	7	1	4	54	0	1	2	44	69	6	2	230	6	201
chr10	42800000	42900000	10wind429	10	429	0	0.99992	0	100000	100000	1794	9897	92	3544	3000	5372	122	162	0	0	0	100000	2985	263	14753	0	3636	16810	0	434	38407	0.38679	1	73	63	409	7	7	5	0	10	51	3	1	1	9	44	0	1	312	7	208
chr11	54700000	54800000	11wind548	11	548	0	0.99991	0	100000	0	382	120	75	5189	543	171	36	122	0	0	0	100000	0	0	0	0	0	33251	0	0	0	0.37289	0	16	47	5	5	5	4	0	0	9	0	0	4	0	1	0	0	17	4	282
chr11	54800000	54900000	11wind549	11	549	0	0.99988	0	100000	0	408	154	54	5225	1114	259	62	78	0	0	0	100000	0	0	0	0	0	23263	0	0	0	0.37188	0	17	76	7	3	3	2	0	0	15	0	0	6	0	1	0	0	20	6	275
chr11	54900000	55000000	11wind550	11	550	0	0.99989	0	100000	0	669	224	40	3804	2411	125	9	86	0	0	0	100000	0	0	0	0	0	0	0	0	0	0.3653	0	27	108	8	4	4	1	0	0	27	0	0	5	0	1	0	0	11	1	209
chr11	72300000	72400000	11wind724	11	724	0	0.99989	4278	100000	0	0	984	769	4411	2603	1182	597	2004	0	0	0	100000	100000	1580	6849	0	0	0	0	874	0	0.55421	2	0	21	41	70	70	8	0	0	48	23	3	0	0	0	0	4	76	38	195
chr11	115100000	115200000	11wind1152	11	1152	0	0.99989	24930	58544	0	259	964	21	4514	2360	1384	270	88	0	0	0	0	100000	0	3429	0	371	0	0	0	0	0.38354	0	10	4	35	4	4	4	0	1	44	3	1	0	0	0	0	2	91	13	242
chr12	34300000	34400000	12wind344	12	344	0	0.99997	0	100000	0	118	1690	159	4510	2693	1660	147	422	87	27900	0	100000	0	980	7502	192	4967	0	0	1482	80205	0.43154	2	5	52	62	16	16	12	1	9	55	1	3	0	29	30	0	4	116	13	197
chr12	34400000	34500000	12wind345	12	345	0	0.99995	0	100000	0	70	998	472	4341	1925	1093	147	973	545	3200	0	100000	0	4069	0	0	9881	13991	0	550	0	0.52493	4	3	79	39	36	36	2	0	2	34	2	1	8	2	7	0	2	76	15	227
chr12	34500000	34600000	12wind346	12	346	0	0.99995	0	100000	0	143	151	304	5197	1019	217	121	493	0	0	0	100000	0	524	0	0	0	11808	0	0	0	0.51626	2	6	74	6	18	18	1	0	0	20	0	0	16	0	0	0	0	19	13	321
chr12	34600000	34700000	12wind347	12	347	0	0.99993	0	100000	0	416	184	42	5309	1509	174	36	65	0	0	0	100000	0	0	0	0	9643	0	0	0	0	0.37398	0	17	59	7	3	3	0	0	2	17	0	0	5	0	11	0	0	13	4	323
chr12	34700000	34800000	12wind348	12	348	0	0.99996	0	100000	0	469	320	133	4463	903	367	38	182	0	0	0	100000	0	0	0	0	0	16605	0	0	0	0.40021	0	19	60	11	7	7	2	0	1	15	0	0	6	0	0	0	0	28	4	272
chr12	54400000	54500000	12wind545	12	545	0	0.99993	11590	100000	0	237	1553	707	3821	3474	2138	474	1769	8809	90791	0	30001	100000	7222	2397	0	0	0	0	697	30001	0.49612	15	9	19	57	61	61	3	0	1	68	18	8	0	7	2	0	2	124	25	190
chr13	19000000	19100000	13wind191	13	191	0	0.99985	0	79999	0	356	1827	21	3666	2759	602	72	44	0	0	0	80000	0	0	15405	0	2772	0	0	0	80000	0.29947	0	14	51	28	2	2	7	0	3	40	0	2	0	39	57	0	0	44	5	177
chr13	19100000	19200000	13wind192	13	192	0	0.99989	0	100000	0	633	1341	103	3840	3038	1552	130	172	0	659	0	100000	0	2346	5215	0	1836	0	323	0	100000	0.39148	3	25	46	47	7	7	8	0	3	46	0	1	0	55	45	1	0	100	10	215
chr13	19200000	19300000	13wind193	13	193	0	0.99985	0	100000	0	605	1171	128	4107	1770	1179	176	310	0	6889	0	100000	0	1819	7211	0	2723	0	0	1998	100000	0.41413	3	24	44	40	11	11	5	0	6	31	0	5	0	29	32	0	2	81	12	237
chr13	19300000	19400000	13wind194	13	194	0	0.99987	0	100000	0	1124	963	214	3646	1572	590	140	830	0	1437	0	100000	3112	0	3521	0	12571	0	0	0	100000	0.45123	0	35	79	37	30	30	3	0	55	31	0	5	0	34	130	0	0	43	8	215
chr13	67700000	67800000	13wind678	13	678	0	0.99986	23176	79441	0	597	1000	0	5058	2763	1334	232	48	0	0	0	0	100000	0	4131	0	869	0	0	0	0	0.34291	0	23	10	35	2	2	4	0	1	49	1	1	0	0	1	0	1	96	14	247
chr14	19000000	19100000	14wind191	14	191	0	0.99966	0	99999	0	391	911	0	4708	2140	925	140	43	0	0	0	49233	0	0	2214	0	613	0	0	0	59673	0.37806	0	16	58	38	2	2	3	0	3	38	0	0	0	12	13	0	1	62	12	266
chr14	19100000	19200000	14wind192	14	192	0	0.99976	0	100000	0	494	630	87	5136	3004	1013	71	121	0	531	0	100000	0	0	19075	0	6876	0	0	0	99851	0.36886	0	19	41	24	5	5	10	0	3	46	3	2	0	12	57	0	2	79	6	255
chr14	19200000	19300000	14wind193	14	193	0	0.99976	0	100000	0	612	1514	0	2249	944	281	0	0	0	0	0	100000	0	0	0	0	0	0	0	0	0	0.45572	0	23	98	14	0	0	0	0	0	9	0	0	0	1	8	0	0	30	0	76
chr14	19300000	19400000	14wind194	14	194	0	0.99973	0	100000	0	497	2565	251	4581	2600	1188	256	432	980	980	0	100000	0	682	3347	0	0	0	313	936	30821	0.40583	1	20	89	75	11	11	10	0	1	44	1	2	0	42	53	1	3	81	14	207
chr14	19400000	19500000	14wind195	14	195	0	0.9997	0	100000	0	391	1500	214	4756	3216	1971	194	270	0	17737	0	100000	0	604	5272	0	2985	0	0	0	80714	0.40617	2	16	110	59	11	11	14	0	1	63	0	9	0	28	41	0	1	129	15	249
chr14	19500000	19600000	14wind196	14	196	0	0.99973	0	100000	0	510	921	157	4295	2279	1231	322	325	1963	31577	0	100000	0	0	8478	0	8399	0	0	0	96743	0.42146	0	20	112	36	12	12	14	0	6	40	14	3	0	25	1097	0	0	90	27	209
chr14	19600000	19700000	14wind197	14	197	0	0.99975	0	100000	0	427	1325	130	4519	2726	1196	210	227	5116	15735	0	100000	0	4331	10581	0	500	0	0	0	75637	0.42794	5	16	97	52	9	9	14	0	1	45	4	4	0	36	541	0	0	79	15	223
chr14	19700000	19800000	14wind198	14	198	0	0.99971	0	100000	0	461	1857	173	4879	2844	1444	146	335	0	25330	0	100000	0	301	1213	0	5938	0	0	578	88885	0.41935	1	19	100	73	13	13	7	0	10	51	0	5	0	30	31	0	1	83	9	251
chr14	19800000	19900000	14wind199	14	199	0	0.99968	0	100000	0	417	1819	108	5084	3191	1467	128	211	0	1344	0	100000	0	2566	5457	0	382	0	0	0	100000	0.40436	2	17	117	70	8	8	13	0	1	58	2	6	0	29	35	0	1	97	12	252
chr14	19900000	20000000	14wind200	14	200	0	0.99972	0	100000	0	410	1038	50	4743	2576	942	170	117	0	0	0	100000	0	1457	24318	0	0	0	0	0	100000	0.42616	3	15	111	42	5	5	14	0	3	43	3	1	0	44	1229	0	0	66	13	238
chr14	20100000	20200000	14wind202	14	202	0	0.99971	0	100000	0	420	1332	143	4315	2387	1789	210	353	0	7264	0	100000	0	961	4276	353	879	0	0	923	100000	0.39754	3	17	121	47	14	14	15	1	1	48	2	6	0	30	65	0	2	122	18	221
chr15	20000000	20100000	15wind201	15	201	0	0.99949	0	99958	0	445	1029	63	4387	1884	1055	55	109	0	0	0	64233	0	0	10713	0	2523	0	0	0	64467	0.37222	0	18	80	40	5	5	7	0	4	35	0	0	0	43	43	0	1	69	5	240
chr15	20100000	20200000	15wind202	15	202	0	0.99951	0	100000	0	496	2508	101	4392	3488	1420	279	183	0	0	0	100000	0	1983	7736	345	4136	0	1665	0	75338	0.38271	2	19	96	106	7	7	12	1	9	54	4	4	0	109	270	1	0	101	16	247
chr15	20200000	20300000	15wind203	15	203	0	0.99955	0	100000	0	350	1552	564	4389	2020	1550	256	773	1332	15512	0	100000	0	301	11400	0	7024	0	0	0	100000	0.47603	1	14	101	58	27	27	8	0	9	41	10	3	0	10	51	0	2	86	19	211
chr15	20300000	20400000	15wind204	15	204	0	0.99937	0	100000	0	197	9001	560	5114	3716	3523	225	747	0	7050	0	100000	7765	489	743	1939	1368	0	10418	1205	100000	0.44951	1	8	103	351	32	32	12	4	4	60	0	1	0	44	83	9	2	223	16	226
chr16	34300000	34400000	16wind344	16	344	0	0.99989	0	100000	0	237	781	234	4126	1900	1029	154	404	0	16212	0	100000	0	0	2424	0	10487	2106	0	0	0	0.41823	0	10	28	28	15	15	6	0	3	38	0	4	1	3	9	0	0	69	10	214
chr16	34400000	34500000	16wind345	16	345	0	0.99991	0	100000	0	479	801	343	4402	1724	860	131	647	0	1530	0	100000	0	1365	7993	0	7965	0	0	0	1487	0.43397	4	19	54	31	24	24	7	0	5	37	1	4	0	3	83	0	0	60	11	236
chr16	34500000	34600000	16wind346	16	346	0	0.99986	0	100000	0	200	689	84	4663	2275	960	166	124	411	3728	0	100000	0	407	22892	0	4672	7713	0	0	0	0.40459	1	8	68	29	6	6	12	0	6	41	2	3	4	0	94	0	0	64	12	262
chr16	34600000	34700000	16wind347	16	347	0	0.9999	0	100000	0	391	1088	24	5227	2606	834	211	132	2947	29465	0	100000	0	463	7606	0	5540	8752	0	603	0	0.40348	1	16	79	33	5	5	9	0	9	40	10	5	3	0	94	0	1	66	19	254
chr16	34700000	34800000	16wind348	16	348	0	0.99991	0	100000	0	340	1048	85	4691	2544	1043	106	348	0	5492	0	92006	0	1406	14649	0	9191	8330	0	0	3185	0.40711	3	13	53	42	15	15	5	0	3	42	9	7	3	4	79	0	1	73	11	239
chr16	34800000	34900000	16wind349	16	349	0	0.99992	0	100000	0	438	1019	161	4315	2730	1360	86	385	0	0	0	8053	0	1419	1874	0	2560	13320	0	292	0	0.41758	1	17	19	43	13	13	4	0	7	49	0	1	4	0	1	0	3	84	7	219
chr16	34900000	35000000	16wind350	16	350	0	0.99988	0	100000	0	305	583	405	4793	1550	354	41	1053	1595	10072	0	1967	0	0	4163	0	0	33286	0	0	0	0.43402	0	13	29	17	32	32	3	0	3	23	3	1	7	1	4	0	0	29	4	215
chr16	35000000	35100000	16wind351	16	351	0	0.9999	0	100000	0	363	689	24	4711	1913	732	143	92	0	939	0	14832	0	0	4825	0	14156	0	0	275	1202	0.38327	0	15	19	27	4	4	6	0	9	38	0	2	5	36	35	0	1	55	12	229
chr16	35100000	35200000	16wind352	16	352	0	0.99991	0	100000	0	513	331	82	3487	2072	668	104	129	0	502	0	22328	0	0	13095	0	722	712	0	0	0	0.37759	0	21	46	14	5	5	10	0	4	32	0	1	4	0	13	0	0	51	8	192
chr16	35200000	35300000	16wind353	16	353	0	0.99997	0	100000	0	1059	74	0	3859	782	79	29	22	0	0	0	0	0	0	0	0	0	6281	0	0	0	0.31229	0	43	56	2	1	1	2	0	0	11	0	0	2	0	0	0	0	6	3	220
chr16	46400000	46500000	16wind465	16	465	0	0.99993	0	100000	0	3412	18030	0	2603	1777	2679	91	121	0	0	0	42225	0	1516	2014	478	1501	17199	0	0	42202	0.36633	1	144	235	737	5	5	5	1	3	21	0	0	3	101	133	0	0	242	5	142
chr17	22100000	22200000	17wind222	17	222	0	0.99997	0	100000	0	694	1115	57	5301	2921	1097	152	180	0	604	0	100000	0	267	3626	0	791	934	0	0	67725	0.35961	1	28	38	46	7	7	9	0	2	54	0	2	3	18	17	0	0	75	10	242
chr17	25300000	25400000	17wind254	17	254	0	0.99996	0	100000	0	478	891	131	4299	2491	1089	183	286	0	1466	0	100000	0	294	20640	0	2402	0	0	0	83813	0.41141	1	20	38	22	12	12	10	0	2	41	0	3	0	35	43	0	0	75	11	222
chr17	25400000	25500000	17wind255	17	255	0	0.99997	0	100000	0	292	899	92	4510	2614	977	244	222	0	0	0	100000	0	0	9539	0	6278	6741	0	0	29718	0.38311	0	12	33	28	9	9	7	0	4	48	0	1	2	12	21	0	1	74	14	213
chr17	46600000	46700000	17wind467	17	467	0	0.99998	24165	100000	0	316	1517	1436	3892	2660	2190	319	2454	1130	15953	0	1594	100000	12255	0	0	0	0	0	1499	0	0.51939	23	13	25	66	82	82	0	0	0	66	31	11	0	0	44	0	2	146	18	184
chr18	15200000	15300000	18wind153	18	153	0	0.99997	0	100000	0	556	972	42	5015	3961	978	71	85	1876	2403	0	100000	0	0	2768	297	1506	0	0	0	100000	0.37262	0	22	40	37	4	4	11	1	4	57	2	3	0	56	100	0	0	77	6	239
chr18	15300000	15400000	18wind154	18	154	0	0.99992	0	100000	0	477	1338	50	5066	2829	1333	76	172	0	0	0	90834	0	626	2711	0	4931	0	0	921	91147	0.37764	1	19	49	57	7	7	6	0	4	52	6	1	0	16	24	0	3	89	7	259
chr18	52900000	53000000	18wind530	18	530	0	0.99993	0	4916	0	410	911	96	4556	1899	1359	237	122	0	0	0	712	100000	0	671	0	0	0	0	672	0	0.37428	0	17	4	40	5	5	3	0	0	44	8	1	0	0	3	0	1	95	13	220
chr19	19800000	19900000	19wind199	19	199	0	0.99977	0	100000	0	146	1893	97	3762	2741	2123	110	276	0	1922	0	33600	0	461	12394	0	6051	2346	0	0	1450	0.46607	1	6	47	76	10	10	13	0	11	65	8	4	4	3	19	0	2	126	9	182
chr19	19900000	20000000	19wind200	19	200	0	0.99976	0	100000	0	231	1312	44	4201	2881	2219	123	93	315	33114	0	100000	0	286	16288	0	8163	0	0	0	0	0.4021	1	9	25	49	4	4	13	0	9	56	7	5	0	6	348	0	3	129	11	213
chr19	20000000	20100000	19wind201	19	201	0	0.99985	0	100000	0	324	1065	21	3736	1894	1255	179	168	4800	84441	0	100000	0	328	9811	0	16455	0	0	0	1416	0.41245	1	13	22	34	7	7	13	0	7	40	5	4	0	1	675	0	1	90	10	210
chr19	20100000	20200000	19wind202	19	202	0	0.99978	0	100000	0	309	1228	174	4056	2591	1774	157	208	141	31243	0	100000	0	655	19354	0	3770	0	0	0	0	0.42615	2	12	36	50	8	8	12	0	9	54	6	5	0	1	105	0	1	125	15	209
chr19	20200000	20300000	19wind203	19	203	0	0.9997	0	100000	0	427	1914	110	3899	2651	1545	232	324	3915	54464	0	100000	0	0	6172	0	18320	0	0	575	0	0.42171	0	16	39	57	15	15	11	0	12	53	6	3	0	0	313	0	1	106	17	220
chr19	20300000	20400000	19wind204	19	204	0	0.99983	0	100000	0	330	1066	87	4318	2618	1447	181	180	1211	15793	0	100000	0	0	8420	0	20558	0	0	904	6646	0.4076	0	14	39	40	7	7	12	0	12	44	1	4	0	4	278	0	3	101	12	211
chr19	20400000	20500000	19wind205	19	205	0	0.99973	0	100000	0	218	1382	18	5085	2531	1683	193	45	0	9436	0	100000	0	0	8052	0	18522	0	0	3111	21893	0.39704	0	9	38	56	2	2	10	0	8	52	0	3	0	4	219	0	5	114	14	269
chr19	20500000	20600000	19wind206	19	206	0	0.99979	0	100000	0	199	595	172	2397	1405	863	90	182	0	552	0	100000	0	339	16491	0	0	0	0	0	41157	0.19214	1	8	57	22	10	10	6	0	0	28	4	4	0	24	326	0	0	57	5	108
chr19	20600000	20700000	19wind207	19	207	0	0.9998	0	100000	0	307	803	85	3739	1528	1230	118	113	0	0	0	100000	0	0	1779	0	6321	0	0	7373	0	0.40987	0	12	89	32	5	5	7	0	10	36	1	2	0	1	155	0	2	87	11	203
